county,precinct,office,district,party,candidate,early_votes,poll_votes,votes
Delta,3055415019,U.S. House,3,L,Gregory Gilman,6,4,10
Delta,3055415019,U.S. House,3,UNA,Tisha Casida,13,4,17
Delta,3055415019,State House,61,AC,Robert Petrowsky,13,6,19
Delta,3055415019,State House,61,R,Debra Irvine,186,54,240
Delta,3055415019,State House,61,D,Millie Hamner,214,61,275
Delta,3055415019,State House,61,L,Ellen Temby,5,1,6
Delta,3055415019,State House,61,UNA,Kathleen Curry,58,16,74
Delta,3055415020,Voters,,,Ballots,667,156,823
Delta,3055415020,President,,AC,Virgil Goode,1,1,2
Delta,3055415020,President,,D,Barack Obama,291,76,367
Delta,3055415020,President,,R,Mitt Romney,348,75,423
Delta,3055415020,President,,L,Gary Johnson,14,2,16
Delta,3055415020,President,,G,Jill Stein,5,0,5
Delta,3055415020,President,,S,Stewart Alexander,0,0,0
Delta,3055415020,President,,J,Ross Anderson,1,0,1
Delta,3055415020,President,,PFP,Roseanne Barr,2,0,2
Delta,3055415020,President,,SW,James Harris,0,0,0
Delta,3055415020,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415020,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415020,President,,ATP,Merlin Miller,0,0,0
Delta,3055415020,President,,UNA,Jill Reed,1,0,1
Delta,3055415020,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415020,President,,WTP,Sheila Tittle,1,0,1
Delta,3055415020,President,,SEP,Jerry White,0,0,0
Delta,3055415020,U.S. House,3,D,Sal Pace,266,64,330
Delta,3055415020,U.S. House,3,R,Scott Tipton,343,73,416
Delta,3055415020,U.S. House,3,L,Gregory Gilman,23,8,31
Delta,3055415020,U.S. House,3,UNA,Tisha Casida,21,5,26
Delta,3055415020,State House,61,AC,Robert Petrowsky,24,8,32
Delta,3055415020,State House,61,R,Debra Irvine,254,63,317
Delta,3055415020,State House,61,D,Millie Hamner,230,65,295
Delta,3055415020,State House,61,L,Ellen Temby,11,6,17
Delta,3055415020,State House,61,UNA,Kathleen Curry,111,11,122
