county,office,,party,candidate,votes,,,
GILPIN,U.S. Senate,,,,2289,,,
GRAND,U.S. Senate,,,,5043,,,
GUNNISON,U.S. Senate,,,,5445,,,
HINSDALE,U.S. Senate,,,,533,,,
HUERFANO,U.S. Senate,,,,2776,,,
JACKSON,U.S. Senate,,,,855,,,
JEFFERSON,U.S. Senate,,,,189402,,,
KIOWA,U.S. Senate,,,,936,,,
KIT CARSON,U.S. Senate,,,,3098,,,
LAKE,U.S. Senate,,,,2399,,,
LARIMER,U.S. Senate,,,,94306,,,
LAS ANIMAS,U.S. Senate,,,,5100,,,
LA PLATA,U.S. Senate,,,,16111,,,
LINCOLN,U.S. Senate,,,,1964,,,
LOGAN,U.S. Senate,,,,6770,,,
MESA,U.S. Senate,,,,40958,,,
MINERAL,U.S. Senate,,,,439,,,
MOFFAT,U.S. Senate,,,,4525,,,
MONTEZUMA,U.S. Senate,,,,8052,,,
MONTROSE,U.S. Senate,,,,12370,,,
MORGAN,U.S. Senate,,,,7676,,,
OTERO,U.S. Senate,,,,6096,,,
OURAY,U.S. Senate,,,,1864,,,
PARK,U.S. Senate,,,,5884,,,
PHILLIPS,U.S. Senate,,,,1922,,,
PITKIN,U.S. Senate,,,,6118,,,
PROWERS,U.S. Senate,,,,4011,,,
PUEBLO,U.S. Senate,,,,48888,,,
RIO BLANCO,U.S. Senate,,,,2441,,,
RIO GRANDE,U.S. Senate,,,,4515,,,
ROUTT,U.S. Senate,,,,7511,,,
SAGUACHE,U.S. Senate,,,,1985,,,
SAN JUAN,U.S. Senate,,,,417,,,
SAN MIGUEL,U.S. Senate,,,,2529,,,
SEDGWICK,U.S. Senate,,,,1118,,,
SUMMIT,U.S. Senate,,,,8177,,,
TELLER,U.S. Senate,,,,7995,,,
WASHINGTON,U.S. Senate,,,,2160,,,
WELD,U.S. Senate,,,,55984,,,
YUMA,U.S. Senate,,,,3876,,,
TOTALS,U.S. Senate,,,,1416081,,,
ADAMS,U.S. House,,REP,Ken Chlouber,0,,,
ARAPAHOE,U.S. House,,REP,Ken Chlouber,7561,,,
DENVER,U.S. House,,REP,Ken Chlouber,42322,,,
JEFFERSON,U.S. House,,REP,Ken Chlouber,1,,,
TOTALS,U.S. House,,REP,Ken Chlouber,49884,,,
ADAMS,U.S. House,,DEM,Diana DeGette,0,,,
ARAPAHOE,U.S. House,,DEM,Diana DeGette,8276,,,
DENVER,U.S. House,,DEM,Diana DeGette,103442,,,
JEFFERSON,U.S. House,,DEM,Diana DeGette,0,,,
TOTALS,U.S. House,,DEM,Diana DeGette,111718,,,
ADAMS,U.S. House,,ACP,George C. Lilly,0,,,
ARAPAHOE,U.S. House,,ACP,George C. Lilly,124,,,
DENVER,U.S. House,,ACP,George C. Lilly,1045,,,
JEFFERSON,U.S. House,,ACP,George C. Lilly,0,,,
TOTALS,U.S. House,,ACP,George C. Lilly,1169,,,
ADAMS,U.S. House,,LIB,Kent Leonard,0,,,
ARAPAHOE,U.S. House,,LIB,Kent Leonard,298,,,
DENVER,U.S. House,,LIB,Kent Leonard,2286,,,
JEFFERSON,U.S. House,,LIB,Kent Leonard,0,,,
TOTALS,U.S. House,,LIB,Kent Leonard,2584,,,
ADAMS,U.S. House,,GRN,Ken Seaman,0,,,
ARAPAHOE,U.S. House,,GRN,Ken Seaman,236,,,
DENVER,U.S. House,,GRN,Ken Seaman,2973,,,
JEFFERSON,U.S. House,,GRN,Ken Seaman,0,,,
TOTALS,U.S. House,,GRN,Ken Seaman,3209,,,
ADAMS,U.S. House,,,,0,,,
ARAPAHOE,U.S. House,,,,16495,,,
DENVER,U.S. House,,,,152068,,,
JEFFERSON,U.S. House,,,,1,,,
TOTALS,U.S. House,,,,168564,,,
ADAMS,U.S. House,,DEM,Mark Udall,33448,,,
BOULDER,U.S. House,,DEM,Mark Udall,55476,,,
BROOMFIELD,U.S. House,,DEM,Mark Udall,6920,,,
CLEAR CREEK,U.S. House,,DEM,Mark Udall,2150,,,
EAGLE,U.S. House,,DEM,Mark Udall,6005,,,
GILPIN,U.S. House,,DEM,Mark Udall,1351,,,
GRAND,U.S. House,,DEM,Mark Udall,2258,,,
JEFFERSON,U.S. House,,DEM,Mark Udall,8546,,,
SUMMIT,U.S. House,,DEM,Mark Udall,4748,,,
WELD,U.S. House,,DEM,Mark Udall,2602,,,
TOTALS,U.S. House,,DEM,Mark Udall,123504,,,
ADAMS,U.S. House,,REP,Sandy Hume,23072,,,
BOULDER,U.S. House,,REP,Sandy Hume,22170,,,
BROOMFIELD,U.S. House,,REP,Sandy Hume,6782,,,
CLEAR CREEK,U.S. House,,REP,Sandy Hume,1663,,,
EAGLE,U.S. House,,REP,Sandy Hume,5222,,,
GILPIN,U.S. House,,REP,Sandy Hume,777,,,
GRAND,U.S. House,,REP,Sandy Hume,2523,,,
JEFFERSON,U.S. House,,REP,Sandy Hume,7624,,,
SUMMIT,U.S. House,,REP,Sandy Hume,3002,,,
WELD,U.S. House,,REP,Sandy Hume,2729,,,
TOTALS,U.S. House,,REP,Sandy Hume,75564,,,
ADAMS,U.S. House,,ACP,Erik J. Brauer,453,,,
BOULDER,U.S. House,,ACP,Erik J. Brauer,273,,,
BROOMFIELD,U.S. House,,ACP,Erik J. Brauer,104,,,
CLEAR CREEK,U.S. House,,ACP,Erik J. Brauer,37,,,
EAGLE,U.S. House,,ACP,Erik J. Brauer,72,,,
GILPIN,U.S. House,,ACP,Erik J. Brauer,26,,,
GRAND,U.S. House,,ACP,Erik J. Brauer,42,,,
JEFFERSON,U.S. House,,ACP,Erik J. Brauer,109,,,
SUMMIT,U.S. House,,ACP,Erik J. Brauer,55,,,
WELD,U.S. House,,ACP,Erik J. Brauer,87,,,
TOTALS,U.S. House,,ACP,Erik J. Brauer,1258,,,
ADAMS,U.S. House,,LIB,Norm Olsen,973,,,
BOULDER,U.S. House,,LIB,Norm Olsen,1375,,,
BROOMFIELD,U.S. House,,LIB,Norm Olsen,217,,,
CLEAR CREEK,U.S. House,,LIB,Norm Olsen,121,,,
EAGLE,U.S. House,,LIB,Norm Olsen,152,,,
GILPIN,U.S. House,,LIB,Norm Olsen,72,,,
GRAND,U.S. House,,LIB,Norm Olsen,103,,,
JEFFERSON,U.S. House,,LIB,Norm Olsen,285,,,
SUMMIT,U.S. House,,LIB,Norm Olsen,159,,,
WELD,U.S. House,,LIB,Norm Olsen,122,,,
TOTALS,U.S. House,,LIB,Norm Olsen,3579,,,
ADAMS,U.S. House,,NLP,Patrick West,404,,,
BOULDER,U.S. House,,NLP,Patrick West,700,,,
BROOMFIELD,U.S. House,,NLP,Patrick West,84,,,
CLEAR CREEK,U.S. House,,NLP,Patrick West,35,,,
EAGLE,U.S. House,,NLP,Patrick West,70,,,
GILPIN,U.S. House,,NLP,Patrick West,38,,,
GRAND,U.S. House,,NLP,Patrick West,50,,,
JEFFERSON,U.S. House,,NLP,Patrick West,101,,,
SUMMIT,U.S. House,,NLP,Patrick West,98,,,
WELD,U.S. House,,NLP,Patrick West,37,,,
TOTALS,U.S. House,,NLP,Patrick West,1617,,,
ADAMS,U.S. House,,,,58350,,,
BOULDER,U.S. House,,,,79994,,,
BROOMFIELD,U.S. House,,,,14107,,,
CLEAR CREEK,U.S. House,,,,4006,,,
EAGLE,U.S. House,,,,11521,,,
GILPIN,U.S. House,,,,2264,,,
GRAND,U.S. House,,,,4976,,,
JEFFERSON,U.S. House,,,,16665,,,
SUMMIT,U.S. House,,,,8062,,,
WELD,U.S. House,,,,5577,,,
TOTALS,U.S. House,,,,205522,,,
ALAMOSA,U.S. House,,DEM,Denis Berckefeldt,1467,,,
ARCHULETA,U.S. House,,DEM,Denis Berckefeldt,918,,,
CONEJOS,U.S. House,,DEM,Denis Berckefeldt,1294,,,
COSTILLA,U.S. House,,DEM,Denis Berckefeldt,836,,,
CUSTER,U.S. House,,DEM,Denis Berckefeldt,388,,,
DELTA,U.S. House,,DEM,Denis Berckefeldt,2410,,,
DOLORES,U.S. House,,DEM,Denis Berckefeldt,211,,,
GARFIELD,U.S. House,,DEM,Denis Berckefeldt,4106,,,
GUNNISON,U.S. House,,DEM,Denis Berckefeldt,2008,,,
HINSDALE,U.S. House,,DEM,Denis Berckefeldt,124,,,
HUERFANO,U.S. House,,DEM,Denis Berckefeldt,1092,,,
JACKSON,U.S. House,,DEM,Denis Berckefeldt,132,,,
LAS ANIMAS,U.S. House,,DEM,Denis Berckefeldt,2478,,,
LA PLATA,U.S. House,,DEM,Denis Berckefeldt,5362,,,
MESA,U.S. House,,DEM,Denis Berckefeldt,8891,,,
MINERAL,U.S. House,,DEM,Denis Berckefeldt,143,,,
MOFFAT,U.S. House,,DEM,Denis Berckefeldt,796,,,
MONTEZUMA,U.S. House,,DEM,Denis Berckefeldt,1917,,,
MONTROSE,U.S. House,,DEM,Denis Berckefeldt,2596,,,
OTERO,U.S. House,,DEM,Denis Berckefeldt,1806,,,
OURAY,U.S. House,,DEM,Denis Berckefeldt,582,,,
PITKIN,U.S. House,,DEM,Denis Berckefeldt,2933,,,
PUEBLO,U.S. House,,DEM,Denis Berckefeldt,19279,,,
RIO BLANCO,U.S. House,,DEM,Denis Berckefeldt,311,,,
RIO GRANDE,U.S. House,,DEM,Denis Berckefeldt,1190,,,
ROUTT,U.S. House,,DEM,Denis Berckefeldt,2660,,,
SAGUACHE,U.S. House,,DEM,Denis Berckefeldt,853,,,
SAN JUAN,U.S. House,,DEM,Denis Berckefeldt,143,,,
SAN MIGUEL,U.S. House,,DEM,Denis Berckefeldt,1234,,,
TOTALS,U.S. House,,DEM,Denis Berckefeldt,68160,,,
ALAMOSA,U.S. House,,REP,Scott McInnis,3016,,,
ARCHULETA,U.S. House,,REP,Scott McInnis,2928,,,
CONEJOS,U.S. House,,REP,Scott McInnis,1823,,,
COSTILLA,U.S. House,,REP,Scott McInnis,612,,,
CUSTER,U.S. House,,REP,Scott McInnis,1494,,,
DELTA,U.S. House,,REP,Scott McInnis,8437,,,
DOLORES,U.S. House,,REP,Scott McInnis,612,,,
GARFIELD,U.S. House,,REP,Scott McInnis,9123,,,
GUNNISON,U.S. House,,REP,Scott McInnis,3062,,,
HINSDALE,U.S. House,,REP,Scott McInnis,362,,,
HUERFANO,U.S. House,,REP,Scott McInnis,1615,,,
JACKSON,U.S. House,,REP,Scott McInnis,677,,,
LAS ANIMAS,U.S. House,,REP,Scott McInnis,2367,,,
LA PLATA,U.S. House,,REP,Scott McInnis,10064,,,
MESA,U.S. House,,REP,Scott McInnis,30512,,,
MINERAL,U.S. House,,REP,Scott McInnis,276,,,
MOFFAT,U.S. House,,REP,Scott McInnis,3583,,,
MONTEZUMA,U.S. House,,REP,Scott McInnis,5843,,,
MONTROSE,U.S. House,,REP,Scott McInnis,9344,,,
OTERO,U.S. House,,REP,Scott McInnis,3494,,,
OURAY,U.S. House,,REP,Scott McInnis,1225,,,
PITKIN,U.S. House,,REP,Scott McInnis,2768,,,
PUEBLO,U.S. House,,REP,Scott McInnis,28052,,,
RIO BLANCO,U.S. House,,REP,Scott McInnis,2091,,,
RIO GRANDE,U.S. House,,REP,Scott McInnis,3255,,,
ROUTT,U.S. House,,REP,Scott McInnis,4469,,,
SAGUACHE,U.S. House,,REP,Scott McInnis,1085,,,
SAN JUAN,U.S. House,,REP,Scott McInnis,227,,,
SAN MIGUEL,U.S. House,,REP,Scott McInnis,1017,,,
TOTALS,U.S. House,,REP,Scott McInnis,143433,,,
ALAMOSA,U.S. House,,LIB,J. Brent Shroyer,75,,,
ARCHULETA,U.S. House,,LIB,J. Brent Shroyer,59,,,
CONEJOS,U.S. House,,LIB,J. Brent Shroyer,26,,,
COSTILLA,U.S. House,,LIB,J. Brent Shroyer,32,,,
CUSTER,U.S. House,,LIB,J. Brent Shroyer,27,,,
DELTA,U.S. House,,LIB,J. Brent Shroyer,256,,,
DOLORES,U.S. House,,LIB,J. Brent Shroyer,18,,,
GARFIELD,U.S. House,,LIB,J. Brent Shroyer,318,,,
GUNNISON,U.S. House,,LIB,J. Brent Shroyer,145,,,
HINSDALE,U.S. House,,LIB,J. Brent Shroyer,26,,,
HUERFANO,U.S. House,,LIB,J. Brent Shroyer,39,,,
JACKSON,U.S. House,,LIB,J. Brent Shroyer,17,,,
LAS ANIMAS,U.S. House,,LIB,J. Brent Shroyer,90,,,
LA PLATA,U.S. House,,LIB,J. Brent Shroyer,306,,,
MESA,U.S. House,,LIB,J. Brent Shroyer,1043,,,
MINERAL,U.S. House,,LIB,J. Brent Shroyer,4,,,
MOFFAT,U.S. House,,LIB,J. Brent Shroyer,69,,,
MONTEZUMA,U.S. House,,LIB,J. Brent Shroyer,135,,,
MONTROSE,U.S. House,,LIB,J. Brent Shroyer,321,,,
OTERO,U.S. House,,LIB,J. Brent Shroyer,59,,,
OURAY,U.S. House,,LIB,J. Brent Shroyer,50,,,
PITKIN,U.S. House,,LIB,J. Brent Shroyer,164,,,
PUEBLO,U.S. House,,LIB,J. Brent Shroyer,589,,,
RIO BLANCO,U.S. House,,LIB,J. Brent Shroyer,44,,,
RIO GRANDE,U.S. House,,LIB,J. Brent Shroyer,65,,,
ROUTT,U.S. House,,LIB,J. Brent Shroyer,150,,,
SAGUACHE,U.S. House,,LIB,J. Brent Shroyer,51,,,
SAN JUAN,U.S. House,,LIB,J. Brent Shroyer,27,,,
SAN MIGUEL,U.S. House,,LIB,J. Brent Shroyer,165,,,
TOTALS,U.S. House,,LIB,J. Brent Shroyer,4370,,,
ALAMOSA,U.S. House,,NLP,Gary Swing,37,,,
ARCHULETA,U.S. House,,NLP,Gary Swing,16,,,
CONEJOS,U.S. House,,NLP,Gary Swing,34,,,
COSTILLA,U.S. House,,NLP,Gary Swing,26,,,
CUSTER,U.S. House,,NLP,Gary Swing,24,,,
DELTA,U.S. House,,NLP,Gary Swing,76,,,
DOLORES,U.S. House,,NLP,Gary Swing,6,,,
GARFIELD,U.S. House,,NLP,Gary Swing,237,,,
GUNNISON,U.S. House,,NLP,Gary Swing,99,,,
HINSDALE,U.S. House,,NLP,Gary Swing,3,,,
HUERFANO,U.S. House,,NLP,Gary Swing,30,,,
JACKSON,U.S. House,,NLP,Gary Swing,7,,,
LAS ANIMAS,U.S. House,,NLP,Gary Swing,53,,,
LA PLATA,U.S. House,,NLP,Gary Swing,110,,,
MESA,U.S. House,,NLP,Gary Swing,346,,,
MINERAL,U.S. House,,NLP,Gary Swing,6,,,
MOFFAT,U.S. House,,NLP,Gary Swing,34,,,
MONTEZUMA,U.S. House,,NLP,Gary Swing,46,,,
MONTROSE,U.S. House,,NLP,Gary Swing,106,,,
OTERO,U.S. House,,NLP,Gary Swing,55,,,
OURAY,U.S. House,,NLP,Gary Swing,14,,,
PITKIN,U.S. House,,NLP,Gary Swing,77,,,
PUEBLO,U.S. House,,NLP,Gary Swing,265,,,
RIO BLANCO,U.S. House,,NLP,Gary Swing,12,,,
RIO GRANDE,U.S. House,,NLP,Gary Swing,32,,,
ROUTT,U.S. House,,NLP,Gary Swing,91,,,
SAGUACHE,U.S. House,,NLP,Gary Swing,22,,,
SAN JUAN,U.S. House,,NLP,Gary Swing,4,,,
SAN MIGUEL,U.S. House,,NLP,Gary Swing,35,,,
TOTALS,U.S. House,,NLP,Gary Swing,1903,,,
ALAMOSA,U.S. House,,Write-in,Jason Alessio,5,,,
ARCHULETA,U.S. House,,Write-in,Jason Alessio,0,,,
CONEJOS,U.S. House,,Write-in,Jason Alessio,0,,,
COSTILLA,U.S. House,,Write-in,Jason Alessio,1,,,
CUSTER,U.S. House,,Write-in,Jason Alessio,0,,,
DELTA,U.S. House,,Write-in,Jason Alessio,7,,,
DOLORES,U.S. House,,Write-in,Jason Alessio,0,,,
GARFIELD,U.S. House,,Write-in,Jason Alessio,0,,,
GUNNISON,U.S. House,,Write-in,Jason Alessio,0,,,
HINSDALE,U.S. House,,Write-in,Jason Alessio,0,,,
HUERFANO,U.S. House,,Write-in,Jason Alessio,0,,,
JACKSON,U.S. House,,Write-in,Jason Alessio,0,,,
LAS ANIMAS,U.S. House,,Write-in,Jason Alessio,4,,,
LA PLATA,U.S. House,,Write-in,Jason Alessio,16,,,
MESA,U.S. House,,Write-in,Jason Alessio,13,,,
MINERAL,U.S. House,,Write-in,Jason Alessio,0,,,
MOFFAT,U.S. House,,Write-in,Jason Alessio,8,,,
MONTEZUMA,U.S. House,,Write-in,Jason Alessio,2,,,
MONTROSE,U.S. House,,Write-in,Jason Alessio,1,,,
OTERO,U.S. House,,Write-in,Jason Alessio,4,,,
OURAY,U.S. House,,Write-in,Jason Alessio,0,,,
PITKIN,U.S. House,,Write-in,Jason Alessio,0,,,
PUEBLO,U.S. House,,Write-in,Jason Alessio,42,,,
RIO BLANCO,U.S. House,,Write-in,Jason Alessio,1,,,
RIO GRANDE,U.S. House,,Write-in,Jason Alessio,2,,,
ROUTT,U.S. House,,Write-in,Jason Alessio,0,,,
SAGUACHE,U.S. House,,Write-in,Jason Alessio,0,,,
SAN JUAN,U.S. House,,Write-in,Jason Alessio,0,,,
SAN MIGUEL,U.S. House,,Write-in,Jason Alessio,0,,,
TOTALS,U.S. House,,Write-in,Jason Alessio,106,,,
ALAMOSA,U.S. House,,,,4600,,,
ARCHULETA,U.S. House,,,,3921,,,
CONEJOS,U.S. House,,,,3177,,,
COSTILLA,U.S. House,,,,1507,,,
CUSTER,U.S. House,,,,1933,,,
DELTA,U.S. House,,,,11186,,,
DOLORES,U.S. House,,,,847,,,
GARFIELD,U.S. House,,,,13784,,,
GUNNISON,U.S. House,,,,5314,,,
HINSDALE,U.S. House,,,,515,,,
HUERFANO,U.S. House,,,,2776,,,
JACKSON,U.S. House,,,,833,,,
LAS ANIMAS,U.S. House,,,,4992,,,
LA PLATA,U.S. House,,,,15858,,,
MESA,U.S. House,,,,40805,,,
MINERAL,U.S. House,,,,429,,,
MOFFAT,U.S. House,,,,4490,,,
MONTEZUMA,U.S. House,,,,7943,,,
MONTROSE,U.S. House,,,,12368,,,
OTERO,U.S. House,,,,5418,,,
OURAY,U.S. House,,,,1871,,,
PITKIN,U.S. House,,,,5942,,,
PUEBLO,U.S. House,,,,48227,,,
RIO BLANCO,U.S. House,,,,2459,,,
RIO GRANDE,U.S. House,,,,4544,,,
ROUTT,U.S. House,,,,7370,,,
SAGUACHE,U.S. House,,,,2011,,,
SAN JUAN,U.S. House,,,,401,,,
SAN MIGUEL,U.S. House,,,,2451,,,
TOTALS,U.S. House,,,,217972,,,
BACA,U.S. House,,DEM,Stan Matsunaka,633,,,
BENT,U.S. House,,DEM,Stan Matsunaka,794,,,
BOULDER,U.S. House,,DEM,Stan Matsunaka,11673,,,
CHEYENNE,U.S. House,,DEM,Stan Matsunaka,305,,,
CROWLEY,U.S. House,,DEM,Stan Matsunaka,450,,,
KIOWA,U.S. House,,DEM,Stan Matsunaka,263,,,
KIT CARSON,U.S. House,,DEM,Stan Matsunaka,819,,,
LARIMER,U.S. House,,DEM,Stan Matsunaka,44034,,,
LINCOLN,U.S. House,,DEM,Stan Matsunaka,523,,,
LOGAN,U.S. House,,DEM,Stan Matsunaka,2274,,,
MORGAN,U.S. House,,DEM,Stan Matsunaka,2998,,,
OTERO,U.S. House,,DEM,Stan Matsunaka,226,,,
PHILLIPS,U.S. House,,DEM,Stan Matsunaka,508,,,
PROWERS,U.S. House,,DEM,Stan Matsunaka,1307,,,
SEDGWICK,U.S. House,,DEM,Stan Matsunaka,362,,,
WASHINGTON,U.S. House,,DEM,Stan Matsunaka,466,,,
WELD,U.S. House,,DEM,Stan Matsunaka,18889,,,
YUMA,U.S. House,,DEM,Stan Matsunaka,975,,,
TOTALS,U.S. House,,DEM,Stan Matsunaka,87499,,,
BACA,U.S. House,,REP,Marilyn N. Musgrave,1450,,,
BENT,U.S. House,,REP,Marilyn N. Musgrave,1063,,,
BOULDER,U.S. House,,REP,Marilyn N. Musgrave,13248,,,
CHEYENNE,U.S. House,,REP,Marilyn N. Musgrave,737,,,
CROWLEY,U.S. House,,REP,Marilyn N. Musgrave,823,,,
KIOWA,U.S. House,,REP,Marilyn N. Musgrave,632,,,
KIT CARSON,U.S. House,,REP,Marilyn N. Musgrave,2122,,,
LARIMER,U.S. House,,REP,Marilyn N. Musgrave,46808,,,
LINCOLN,U.S. House,,REP,Marilyn N. Musgrave,1390,,,
LOGAN,U.S. House,,REP,Marilyn N. Musgrave,4315,,,
MORGAN,U.S. House,,REP,Marilyn N. Musgrave,4413,,,
OTERO,U.S. House,,REP,Marilyn N. Musgrave,451,,,
PHILLIPS,U.S. House,,REP,Marilyn N. Musgrave,1354,,,
PROWERS,U.S. House,,REP,Marilyn N. Musgrave,2568,,,
SEDGWICK,U.S. House,,REP,Marilyn N. Musgrave,777,,,
WASHINGTON,U.S. House,,REP,Marilyn N. Musgrave,1623,,,
WELD,U.S. House,,REP,Marilyn N. Musgrave,28808,,,
YUMA,U.S. House,,REP,Marilyn N. Musgrave,2777,,,
TOTALS,U.S. House,,REP,Marilyn N. Musgrave,115359,,,
BACA,U.S. House,,LIB,John Volz,48,,,
BENT,U.S. House,,LIB,John Volz,42,,,
BOULDER,U.S. House,,LIB,John Volz,1087,,,
CHEYENNE,U.S. House,,LIB,John Volz,21,,,
CROWLEY,U.S. House,,LIB,John Volz,24,,,
KIOWA,U.S. House,,LIB,John Volz,18,,,
KIT CARSON,U.S. House,,LIB,John Volz,100,,,
LARIMER,U.S. House,,LIB,John Volz,3045,,,
LINCOLN,U.S. House,,LIB,John Volz,49,,,
LOGAN,U.S. House,,LIB,John Volz,203,,,
MORGAN,U.S. House,,LIB,John Volz,244,,,
OTERO,U.S. House,,LIB,John Volz,11,,,
PHILLIPS,U.S. House,,LIB,John Volz,60,,,
PROWERS,U.S. House,,LIB,John Volz,114,,,
SEDGWICK,U.S. House,,LIB,John Volz,35,,,
WASHINGTON,U.S. House,,LIB,John Volz,78,,,
WELD,U.S. House,,LIB,John Volz,1791,,,
YUMA,U.S. House,,LIB,John Volz,127,,,
TOTALS,U.S. House,,LIB,John Volz,7097,,,
BACA,U.S. House,,,,2131,,,
BENT,U.S. House,,,,1899,,,
BOULDER,U.S. House,,,,26008,,,
CHEYENNE,U.S. House,,,,1063,,,
CROWLEY,U.S. House,,,,1297,,,
KIOWA,U.S. House,,,,913,,,
KIT CARSON,U.S. House,,,,3041,,,
LARIMER,U.S. House,,,,93887,,,
LINCOLN,U.S. House,,,,1962,,,
LOGAN,U.S. House,,,,6792,,,
MORGAN,U.S. House,,,,7655,,,
OTERO,U.S. House,,,,688,,,
PHILLIPS,U.S. House,,,,1922,,,
PROWERS,U.S. House,,,,3989,,,
SEDGWICK,U.S. House,,,,1174,,,
WASHINGTON,U.S. House,,,,2167,,,
WELD,U.S. House,,,,49488,,,
YUMA,U.S. House,,,,3879,,,
TOTALS,U.S. House,,,,209955,,,
CHAFFEE,U.S. House,,DEM,Curtis Imrie,2407,,,
EL PASO,U.S. House,,DEM,Curtis Imrie,35334,,,
FREMONT,U.S. House,,DEM,Curtis Imrie,3893,,,
LAKE,U.S. House,,DEM,Curtis Imrie,1156,,,
PARK,U.S. House,,DEM,Curtis Imrie,894,,,
TELLER,U.S. House,,DEM,Curtis Imrie,1903,,,
TOTALS,U.S. House,,DEM,Curtis Imrie,45587,,,
CHAFFEE,U.S. House,,REP,Joel Hefley,3869,,,
EL PASO,U.S. House,,REP,Joel Hefley,106836,,,
FREMONT,U.S. House,,REP,Joel Hefley,9366,,,
LAKE,U.S. House,,REP,Joel Hefley,986,,,
PARK,U.S. House,,REP,Joel Hefley,1581,,,
TELLER,U.S. House,,REP,Joel Hefley,5480,,,
TOTALS,U.S. House,,REP,Joel Hefley,128118,,,
CHAFFEE,U.S. House,,LIB,Biff Baker,542,,,
EL PASO,U.S. House,,LIB,Biff Baker,8818,,,
FREMONT,U.S. House,,LIB,Biff Baker,612,,,
LAKE,U.S. House,,LIB,Biff Baker,189,,,
PARK,U.S. House,,LIB,Biff Baker,328,,,
TELLER,U.S. House,,LIB,Biff Baker,483,,,
TOTALS,U.S. House,,LIB,Biff Baker,10972,,,
CHAFFEE,U.S. House,,,,6818,,,
EL PASO,U.S. House,,,,150988,,,
FREMONT,U.S. House,,,,13871,,,
LAKE,U.S. House,,,,2331,,,
PARK,U.S. House,,,,2803,,,
TELLER,U.S. House,,,,7866,,,
TOTALS,U.S. House,,,,184677,,,
ARAPAHOE,U.S. House,,REP,Tom Tancredo,62019,,,
DOUGLAS,U.S. House,,REP,Tom Tancredo,52271,,,
ELBERT,U.S. House,,REP,Tom Tancredo,5888,,,
JEFFERSON,U.S. House,,REP,Tom Tancredo,36811,,,
PARK,U.S. House,,REP,Tom Tancredo,1862,,,
TOTALS,U.S. House,,REP,Tom Tancredo,158851,,,
ARAPAHOE,U.S. House,,DEM,Lance Wright,32009,,,
DOUGLAS,U.S. House,,DEM,Lance Wright,17541,,,
ELBERT,U.S. House,,DEM,Lance Wright,1626,,,
JEFFERSON,U.S. House,,DEM,Lance Wright,19181,,,
PARK,U.S. House,,DEM,Lance Wright,970,,,
TOTALS,U.S. House,,DEM,Lance Wright,71327,,,
ARAPAHOE,U.S. House,,LIB,Adam D. Katz,3050,,,
DOUGLAS,U.S. House,,LIB,Adam D. Katz,2003,,,
ELBERT,U.S. House,,LIB,Adam D. Katz,221,,,
JEFFERSON,U.S. House,,LIB,Adam D. Katz,1883,,,
PARK,U.S. House,,LIB,Adam D. Katz,166,,,
TOTALS,U.S. House,,LIB,Adam D. Katz,7323,,,
ARAPAHOE,U.S. House,,,,97078,,,
DOUGLAS,U.S. House,,,,71815,,,
ELBERT,U.S. House,,,,7735,,,
JEFFERSON,U.S. House,,,,57875,,,
PARK,U.S. House,,,,2998,,,
TOTALS,U.S. House,,,,237501,,,
ADAMS,U.S. House,,DEM,Mike Feeley,12339,,,
ARAPAHOE,U.S. House,,DEM,Mike Feeley,17353,,,
JEFFERSON,U.S. House,,DEM,Mike Feeley,51976,,,
TOTALS,U.S. House,,DEM,Mike Feeley,81668,,,
ADAMS,U.S. House,,REP,Bob Beauprez,11309,,,
ARAPAHOE,U.S. House,,REP,Bob Beauprez,15800,,,
JEFFERSON,U.S. House,,REP,Bob Beauprez,54680,,,
TOTALS,U.S. House,,REP,Bob Beauprez,81789,,,
ADAMS,U.S. House,,CRP,Bob Victor Good,491,,,
ARAPAHOE,U.S. House,,CRP,Bob Victor Good,792,,,
JEFFERSON,U.S. House,,CRP,Bob Victor Good,1850,,,
TOTALS,U.S. House,,CRP,Bob Victor Good,3133,,,
ADAMS,U.S. House,,GRN,Dave Chandler,419,,,
ARAPAHOE,U.S. House,,GRN,Dave Chandler,605,,,
JEFFERSON,U.S. House,,GRN,Dave Chandler,2250,,,
TOTALS,U.S. House,,GRN,Dave Chandler,3274,,,
ADAMS,U.S. House,,LIB,"G.T. ""Bud"" Martin",533,,,
ARAPAHOE,U.S. House,,LIB,"G.T. ""Bud"" Martin",563,,,
JEFFERSON,U.S. House,,LIB,"G.T. ""Bud"" Martin",1810,,,
TOTALS,U.S. House,,LIB,"G.T. ""Bud"" Martin",2906,,,
ADAMS,U.S. House,,Write-in,Stanford E. Andress,26,,,
ARAPAHOE,U.S. House,,Write-in,Stanford E. Andress,0,,,
JEFFERSON,U.S. House,,Write-in,Stanford E. Andress,82,,,
TOTALS,U.S. House,,Write-in,Stanford E. Andress,108,,,
ADAMS,U.S. House,,Write-in,Michael Reigle,0,,,
ARAPAHOE,U.S. House,,Write-in,Michael Reigle,0,,,
JEFFERSON,U.S. House,,Write-in,Michael Reigle,0,,,
TOTALS,U.S. House,,Write-in,Michael Reigle,0,,,
ADAMS,U.S. House,,,,25117,,,
ARAPAHOE,U.S. House,,,,35113,,,
JEFFERSON,U.S. House,,,,112648,,,
